iter,elapsed_time,obj,gradnorm,eval,grad,L
80,0.09294612794474233,0.1675294782331447,0.528025942139701,0,91,223.71788854107393
81,0.09395791994757019,0.16628669931457915,0.5252934185007697,0,92,201.34609968696654
82,0.0949680029443698,0.16492056543895572,0.5223247502224916,0,93,181.2114897182699
83,0.09598533694224898,0.16342075118962393,0.5192234659262893,0,94,163.0903407464429
84,0.0970441709359875,0.16177667754836506,0.5165543986897211,0,95,146.78130667179863
85,0.09807483793701977,0.1599816356934297,0.5185626656860347,0,96,132.10317600461877
86,0.09911854592792224,0.15806009655529205,0.5589735550449074,0,97,118.8928584041569
87,0.10015192092396319,0.1564181415842707,0.9001034806805873,0,98,107.00357256374122
88,0.10325133791775443,0.15528198295759144,0.5146141282287966,0,101,385.2128612294684
89,0.10428175392735284,0.15461900866712666,0.5004370075482042,0,102,346.69157510652155
90,0.10531058692140505,0.1539001861194091,0.4978953583353948,0,103,312.0224175958694
91,0.1063393369113328,0.15310767700483788,0.4959776392713549,0,104,280.8201758362825
92,0.10736662791168783,0.15223366112642692,0.49398963550344255,0,105,252.73815825265424
93,0.10839721090451349,0.15127043580269584,0.49182771943656295,0,106,227.46434242738883
94,0.10946933590457775,0.15020978119596443,0.4894667093004713,0,107,204.71790818464996
95,0.11053496091335546,0.14904304004949934,0.48692235206050644,0,108,184.24611736618496
96,0.11178087792359293,0.14776103192777398,0.4843205992495645,0,109,165.82150562956647
97,0.11289025293081068,0.14635499534663238,0.482568750083663,0,110,149.23935506660982
98,0.11394958692835644,0.14482027458677713,0.4878102888652957,0,111,134.31541955994885
99,0.11500408692518249,0.14320073069934006,0.5520611475064353,0,112,120.88387760395396
100,0.11708733691193629,0.14229519272244692,0.5681733744315812,0,114,217.59097968711714
101,0.11816308691049926,0.14136013648443482,0.6373110259752962,0,115,195.83188171840544
102,0.12025087891379371,0.14063612879391627,0.48692254192408924,0,117,352.4973870931298
103,0.12128300391486846,0.14000239925388344,0.47047059233912275,0,118,317.24764838381685
104,0.1223110459104646,0.13931574839746028,0.46641667096742634,0,119,285.52288354543515
105,0.12344033691624645,0.13856007430996975,0.46413947739529454,0,120,256.97059519089163
106,0.12461812891706359,0.13772733994810182,0.4622814579166464,0,121,231.27353567180248
107,0.12580887891817838,0.13681041921089854,0.4608138342437894,0,122,208.14618210462223
108,0.12684846292540897,0.1358022969271393,0.46067896840683836,0,123,187.33156389416
109,0.12787146292976104,0.13469931870777554,0.46671665444279176,0,124,168.59840750474402
110,0.12888912991911639,0.13351664011423528,0.5046220240499916,0,125,151.7385667542696
111,0.1299051719106501,0.13242468034039437,0.7148221960718012,0,126,136.56471007884267
112,0.13293700591020752,0.13176334867286935,0.4479649476748259,0,129,491.6329562838336
113,0.1339445889025228,0.13135602006598046,0.4466007051799912,0,130,442.46966065545024
114,0.13495454691292252,0.1309057750055867,0.4455638341793568,0,131,398.22269458990525
115,0.13596358892391436,0.13040788266668527,0.4444191879658496,0,132,358.40042513091475
116,0.13697975492686965,0.12985758484637977,0.44315315970620883,0,133,322.5603826178233
